Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
64,18,6,130,6,Some Random Commen with Id 64
65,18,6,1,0,Some Random Commen with Id 65
66,18,6,95,8,Some Random Commen with Id 66
67,19,2,150,2,Some Random Commen with Id 67
68,19,2,71,2,Some Random Commen with Id 68
69,19,2,132,4,Some Random Commen with Id 69
70,19,2,165,0,Some Random Commen with Id 70
71,19,2,33,4,Some Random Commen with Id 71
72,19,2,43,8,Some Random Commen with Id 72
73,19,2,46,5,Some Random Commen with Id 73
74,19,2,49,2,Some Random Commen with Id 74
75,20,8,61,6,Some Random Commen with Id 75
76,20,8,111,1,Some Random Commen with Id 76
77,20,8,94,8,Some Random Commen with Id 77
78,20,8,146,1,Some Random Commen with Id 78
79,20,8,54,9,Some Random Commen with Id 79
80,20,8,180,7,Some Random Commen with Id 80
81,20,8,81,7,Some Random Commen with Id 81
82,21,3,170,0,Some Random Commen with Id 82
83,21,3,99,3,Some Random Commen with Id 83
84,21,3,21,4,Some Random Commen with Id 84
85,21,3,15,0,Some Random Commen with Id 85
86,21,3,87,6,Some Random Commen with Id 86
87,21,3,4,6,Some Random Commen with Id 87
88,21,3,193,7,Some Random Commen with Id 88
89,23,2,80,0,Some Random Commen with Id 89
90,23,2,190,8,Some Random Commen with Id 90
91,23,2,183,7,Some Random Commen with Id 91
92,24,8,76,5,Some Random Commen with Id 92
93,24,8,150,2,Some Random Commen with Id 93
94,24,8,74,8,Some Random Commen with Id 94
95,24,8,30,1,Some Random Commen with Id 95
96,24,8,30,2,Some Random Commen with Id 96
97,24,8,198,9,Some Random Commen with Id 97
98,24,8,68,6,Some Random Commen with Id 98
99,24,8,196,3,Some Random Commen with Id 99
100,25,0,52,0,Some Random Commen with Id 100
101,25,0,88,0,Some Random Commen with Id 101
102,25,0,21,1,Some Random Commen with Id 102
103,25,0,94,3,Some Random Commen with Id 103
104,26,3,142,8,Some Random Commen with Id 104
105,26,3,113,2,Some Random Commen with Id 105
106,26,3,34,8,Some Random Commen with Id 106
107,26,3,87,3,Some Random Commen with Id 107
108,26,3,126,9,Some Random Commen with Id 108
109,26,3,29,7,Some Random Commen with Id 109
110,26,3,9,6,Some Random Commen with Id 110
111,26,3,91,3,Some Random Commen with Id 111
112,27,8,118,7,Some Random Commen with Id 112
113,27,8,17,1,Some Random Commen with Id 113
114,27,8,108,2,Some Random Commen with Id 114
115,27,8,103,2,Some Random Commen with Id 115
116,27,8,44,4,Some Random Commen with Id 116
117,27,8,70,8,Some Random Commen with Id 117
118,28,3,171,0,Some Random Commen with Id 118
119,28,3,176,1,Some Random Commen with Id 119
120,28,3,123,2,Some Random Commen with Id 120
121,28,3,191,6,Some Random Commen with Id 121
122,29,3,181,1,Some Random Commen with Id 122
123,29,3,102,4,Some Random Commen with Id 123
124,30,1,63,4,Some Random Commen with Id 124
125,30,1,26,4,Some Random Commen with Id 125
126,30,1,160,4,Some Random Commen with Id 126
127,30,1,61,6,Some Random Commen with Id 127
128,30,1,150,2,Some Random Commen with Id 128
129,30,1,133,7,Some Random Commen with Id 129
130,30,1,59,2,Some Random Commen with Id 130
131,31,1,66,1,Some Random Commen with Id 131
132,31,1,129,7,Some Random Commen with Id 132
133,31,1,66,4,Some Random Commen with Id 133
134,31,1,155,0,Some Random Commen with Id 134
135,31,1,167,4,Some Random Commen with Id 135
136,31,1,97,8,Some Random Commen with Id 136
137,32,5,179,6,Some Random Commen with Id 137
138,32,5,132,2,Some Random Commen with Id 138
139,32,5,10,1,Some Random Commen with Id 139
140,32,5,56,4,Some Random Commen with Id 140
141,32,5,52,0,Some Random Commen with Id 141
142,33,1,108,4,Some Random Commen with Id 142
143,33,1,73,2,Some Random Commen with Id 143
144,33,1,47,6,Some Random Commen with Id 144
145,34,3,169,2,Some Random Commen with Id 145
146,34,3,67,1,Some Random Commen with Id 146
147,34,3,46,5,Some Random Commen with Id 147
148,36,4,99,2,Some Random Commen with Id 148
149,36,4,5,2,Some Random Commen with Id 149
150,36,4,177,9,Some Random Commen with Id 150
151,37,5,123,3,Some Random Commen with Id 151
152,38,0,129,6,Some Random Commen with Id 152
153,38,0,157,0,Some Random Commen with Id 153
154,38,0,116,7,Some Random Commen with Id 154
155,38,0,43,0,Some Random Commen with Id 155
156,38,0,85,7,Some Random Commen with Id 156
157,38,0,181,3,Some Random Commen with Id 157
158,38,0,66,6,Some Random Commen with Id 158
159,38,0,116,7,Some Random Commen with Id 159
160,38,0,59,3,Some Random Commen with Id 160
161,39,4,155,1,Some Random Commen with Id 161
